Gender,Age_Group,Country,Local-Foreign,Education_Level,Part_Full,Accomodation,Living,Buy_Food,no_Quality,no_Price,No_Serving_Size,No_Variety,No_Environment,No_from_Where,Home_Food_Prepare,Buy_Location,Days_buy,Eat_Time,Daily_Spend,Group_Eat,yes_Food,yes_Price,yes_size,yes_variety,yes_bev_Price,yes_bev_variety,yes_env,yes_ordering,yes_seat,yes_cs,name_dish,price_dish,three_words,W_Food,W_Env,W_Price,ord_system,comments
Female,25 - 30 Years,Indonesia,Foreginer,Graduate,Full Time,Private,With Students,Yes,,,,,,,No,APU Cafeteria,1 - 2 days,Lunch,RM 8 - RM 10,Yes,3,3,1,3,3,3,3,3,3,3,Yes,No,,,,,Buffet system,
Female,15 - 24 Years,Malaysia,Local,Graduate,Full Time,Parents,Family / Parents,Yes,,,,,,,No,APU Cafeteria;Don't take lunch at University,1 - 2 days,Breakfast;Lunch,RM 8 - RM 10,Yes,3,4,1,3,1,3,4,3,3,3,Yes,May be,,,,,Buffet system,
Female,25 - 30 Years,Germany,Foreginer,Graduate,Full Time,University Provided Accomodation,With Students,Yes,,,,,,,Sometimes,APU Cafeteria;Convenient Shop,1 - 2 days,Lunch,RM 5 - RM 7,Yes,4,3,3,3,1,3,5,4,4,4,May be,No,Basic; dirty; cheap,Basic,Dirty,Cheap,Buffet system,
Female,35 - 44 Years,Malaysia,Local,Graduate,Full Time,Parents,Family / Parents,Yes,,,,,,,No,APU Cafeteria;From Home,3 - 4 days,Breakfast;Lunch,RM 10 - RM 15,Yes,3,1,1,3,3,3,4,1,1,1,Yes,No,Same food everyday,Same food everyday,,,Buffet system,
Female,15 - 24 Years,Mauritius,Foreginer,Graduate,Full Time,Private,With Students,Yes,,,,,,,Sometimes,APU Cafeteria,3 - 4 days,Lunch,RM 5 - RM 7,Yes,1,1,4,3,4,3,4,4,5,4,Yes,May be,Delicious; hot; expensive ,Delicious,hot,expensive,Buffet system,APU Cafeteria is too crowded and once the food is finished they don't refill. 
Female,31 - 35 Years,Nigeria,Foreginer,Graduate,Full Time,Private,Alone,Yes,,,,,,,Yes,APU Cafeteria,more than 4 days,Lunch,RM 10 - RM 15,No,1,1,1,1,1,1,1,1,1,1,Yes,Yes,Not satisfied ; satisfied ; very expensive,not satisfied,satisfied,expensive,Buffet system,
Female,15 - 24 Years,Malaysia,Local,Under Graduate,Full Time,Private,Alone,Yes,,,,,,,Yes,APU Cafeteria,3 - 4 days,Lunch,RM 8 - RM 10,Yes,1,5,1,3,4,3,4,1,3,3,Yes,Yes,Satisfactory ; could be improved; satisfactory,satisfactory,could be improved,satisfactory,Buffet system,The food available in the cafeteria is satisfactory however they lack variety of food to cater to foreign students
Female,15 - 24 Years,Malaysia,Local,Under Graduate,Full Time,Parents,Family / Parents,Yes,,,,,,,Sometimes,APU Cafeteria,3 - 4 days,Breakfast;Lunch,RM 10 - RM 15,Yes,1,3,1,3,1,1,1,1,1,1,Yes,Yes,Good; chilled and reasonable ,good,chilled,reasonabale,Buffet system,
Male,15 - 24 Years,Syrian,Foreginer,Under Graduate,Full Time,Private,Friends,Yes,,,,,,,Sometimes,APU Cafeteria,3 - 4 days,Breakfast;Lunch;Snacks / Tea,RM 10 - RM 15,No,1,3,1,3,1,1,1,1,1,1,No,No,Satisfied.sattisfied.satisfied,satisfied,satisfied,satisfied,Off the Menu,Thanks for your consideration about changing the food menu.
Male,15 - 24 Years,South Africa,Foreginer,Under Graduate,Full Time,Private,With Students,No,2,2,2,3,3,From Home,,,,,,,,,,,,,,,,,,,,,,,Buffet system,
